,Date,Open,High,Low,Close,Volume
237,08/07/2020,"1,500.00","1,516.85","1,481.64","1,494.49","1,577,826"
238,08/06/2020,"1,471.75","1,502.39","1,466.00","1,500.10","1,995,368"
239,08/05/2020,"1,469.30","1,482.41","1,463.46","1,473.61","1,979,957"
240,08/04/2020,"1,476.57","1,485.56","1,458.65","1,464.97","1,903,489"
241,08/03/2020,"1,486.64","1,490.47","1,465.64","1,474.45","2,331,514"
242,07/31/2020,"1,505.01","1,508.95","1,454.03","1,482.96","3,429,036"
243,07/30/2020,"1,497.00","1,537.87","1,492.22","1,531.45","1,671,396"
244,07/29/2020,"1,506.32","1,531.25","1,501.33","1,522.02","1,106,534"
245,07/28/2020,"1,525.18","1,526.48","1,497.66","1,500.34","1,702,174"
246,07/27/2020,"1,515.60","1,540.97","1,515.21","1,530.20","1,245,980"
247,07/24/2020,"1,498.93","1,517.64","1,488.40","1,511.87","1,544,404"
248,07/23/2020,"1,566.97","1,571.87","1,507.39","1,515.68","1,627,634"
249,07/22/2020,"1,560.50","1,570.00","1,546.10","1,568.49","931,985"
250,07/21/2020,"1,586.99","1,586.99","1,554.28","1,558.42","1,218,645"
251,07/20/2020,"1,515.26","1,570.29","1,503.60","1,565.72","1,557,252"
